RNAME,VARIABLE_ID,VARIABLE_ENG_TITLE,VARIABLE_FRE_TITLE,VARIABLE_ENG_NAME,VARIABLE_GROUP,VARIABLE_FORM,UNIT_ID
X2.4.D,2 4 D,2 4 D,2 4 D,2 4 D,PESTICIDES AND HERBICIDES,TOTAL,UG/L
AG-EXT,AG-EXT,SILVER EXTRACTABLE,ARGENT EXTRACTIBLE,SILVER,METALS,EXTRACTABLE,UG/L
AG-TOT,AG-TOT,SILVER TOTAL,ARGENT TOTAL,SILVER,METALS,TOTAL,UG/L
AL-DISS,AL-DISS,ALUMINUM DISSOLVED,ALUMINUM DISSOUS,ALUMINUM,METALS,DISSOLVED,MG/L
ALK-TOT,ALK-TOT,ALKALINITY TOTAL CACO3,ALCALINIT… TOTALE CACO3,ALKALINITY,PHYSICAL,TOTAL,MG/L
AL-TOT,AL-TOT,ALUMINUM TOTAL,ALUMINIUM TOTAL,ALUMINUM,METALS,TOTAL,MG/L
AS-DISS,AS-DISS,ARSENIC DISSOLVED,ARSENIC TOTAL,ARSENIC,NON-METALS,DISSOLVED,UG/L
AS-EXT,AS-EXT,ARSENIC EXTRACTABLE,ARSENIC EXTRACTIBLE,ARSENIC,NON-METALS,EXTRACTABLE,UG/L
AS-TOT,AS-TOT,ARSENIC TOTAL,ARSENIC TOTAL,ARSENIC,NON-METALS,TOTAL,UG/L
ATRAZINE,ATRAZINE,ATRAZINE,ATRAZINE,ATRAZINE,PAH,OTHER,NG/L
BA-DISS,BA-DISS,BARIUM DISSOVED,,BARIUM,METALS,DISSOLVED,UG/L
BAP,BAP,BENZO(A)PYRENE,BENZO(A)PYR»NE,BAP,PAH,TOTAL,NG/L
BENTAZONE,BENTAZONE,BENTAZONE,BENTAZONE,BENTAZONE,PESTICIDES AND HERBICIDES,OTHER,NG/L
BROMOXYNIL,BROMOXYNIL,BROMOXYNIL,,BROMOXYNIL,PESTICIDES AND HERBICIDES,OTHER,NG/L
CA-DISSF,CA-DISSF,CALCIUM DISSOLVED/FILTERED,,CALCIUM,IONS,DISSOLVED,MG/L
CA-DISS-ORG,CA-DISS-ORG,CALCIUM DISSOLVED ORGANIC,,CALCIUM,IONS,DISSOLVED,MG/L
CD-DISS,CD-DISS,CADMIUM DISSOLVED,CADMIUM DISSOUS,CADMIUM,METALS,DISSOLVED,UG/L
CD-EXT,CD-EXT,CADMIUM EXTRACTABLE,CADMIUM EXTRACTIBLE,CADMIUM,METALS,EXTRACTABLE,UG/L
CD-TOT,CD-TOT,CADMIUM TOTAL,CADMIUM TOTAL,CADMIUM,METALS,TOTAL,UG/L
CHLORO,CHLORO,CHLOROPHYLL A,CHLOROPHYLLE A,CHLOROPHYLL,ALGAE,OTHER,MG/M3
CL-DISS,CL-DISS,CHLORIDE DISSOLVED,CHLORURE DISSOUS,CHLORIDE,IONS,DISSOLVED,MG/L
CLOPYRALID,CLOPYRALID,CLOPYRALID,,CLOPYRALID,PESTICIDES AND HERBICIDES,OTHER,NG/L
CL-TOT,CL-TOT,CHLORIDE TOTAL,CHLORURE TOTAL,CHLORIDE,IONS,TOTAL,MG/L
CN-TOT,CN-TOT,CYANIDE TOTAL,CYANURE TOTAL,CYANIDE,CARBON-NITROGEN COMPOUNDS,TOTAL,UG/L
CN-WAD,CN-WAD,"CYANIDE, WEAK ACID DISSOCIABLE",CYANURE S…PARABLE EN ACIDE FAIBLE,CYANIDE,CARBON-NITROGEN COMPOUNDS,OTHER,UG/L
COL-FEC,COL-FEC,COLIFORMS FECAL,COLIFORMES F…CAUX,COLIFORMS,PATHOGENS,OTHER,CELL/100ML
COL-TOT,COL-TOT,COLIFORMS TOTAL,,COLIFORMS,PATHOGENS,OTHER,CELL/100ML
CR-EXT,CR-EXT,CHROMIUM EXTRACTABLE,CHROMIUM EXTRACTIBLE,CHROMIUM,METALS,EXTRACTABLE,UG/L
CR-TOT,CR-TOT,CHROMIUM TOTAL,CHROME TOTAL,CHROMIUM,METALS,TOTAL,UG/L
CU-DISS,CU-DISS,COPPER DISSOLVED,CUIVRE DISSOUS,COPPER,METALS,DISSOLVED,UG/L
CU-EXT,CU-EXT,COPPER EXTRACTABLE,CUIVRE EXTRACTIBLE,COPPER,METALS,EXTRACTABLE,UG/L
CU-TOT,CU-TOT,COPPER TOTAL,CUIVRE TOTAL,COPPER,METALS,TOTAL,UG/L
D-ATRAZINE,D-ATRAZINE,DESETHYL ATRAZINE,,ATRAZINE,PESTICIDES AND HERBICIDES,OTHER,NG/L
DICAMBA,DICAMBA,DICAMBA,DICAMBA,DICAMBA,PESTICIDES AND HERBICIDES,OTHER,NG/L
DICHLORPROP,DICHLORPROP,DICHLORPROP,,DICHLORPROP,PESTICIDES AND HERBICIDES,OTHER,NG/L
DIELDRIN,DIELDRIN,DIELDRIN,DIELDRINE,DIELDRIN,PESTICIDES AND HERBICIDES,OTHER,NG/L
DOC,DOC,DISSOLVED ORGANIC CARBON,,DISSOLVED ORGANIC CARBON,CARBON,DISSOLVED,
ECOLI,ECOLI,ESCHERICHIA COLI ,,COLIFORMS,PATHOGENS,OTHER,CELL/100ML
F-DISS,F-DISS,FLUORIDE DISSOLVED,FLUORURE DISSOUS,FLUORIDE,IONS,DISSOLVED,MG/L
FEC-STREP,FEC-STREP,FECAL STREPTOCOCCI,,COLIFORMS,PATHOGENS,OTHER,CELL/100ML
FE-DISS,FE-DISS,IRON DISSOLVED,FER DISSOUS,IRON,METALS,DISSOLVED,MG/L
FE-EXT,FE-EXT,IRON EXTRACTABLE,FER EXTRACTIBLE,IRON,METALS,EXTRACTABLE,MG/L
FE-TOT,FE-TOT,IRON TOTAL,FER TOTAL,IRON,METALS,TOTAL,MG/L
F-TOTAL,F-TOTAL,FLUORIDE TOTAL,FLUORURE TOTAL,FLUORIDE,IONS,TOTAL,MG/L
