SampleId,Taxonomist,Study,Site,SampleDate,Year,JulianDay,Name,Basin,KywId,KywName,EcoregionNumber,Ecoregion,Province,EnvirodatId,Description,Device,SampleNumber,SampleStatus,Latitude,Longitude,GPSDatum,Altitude,StreamOrder,DistanceFromSource,DrainageArea,SubSample,TotalSample,Ameletidae,Ametropodidae,Aturidae,Baetidae,Baetiscidae,Brachycentridae,Capniidae,Ceratopogonidae,Chironomidae,Chloroperlidae,Edwardsiidae,Elmidae,Empididae,Enchytraeidae,Ephemerellidae,Ephemeridae,Feltriidae,Glossosomatidae,Heptageniidae,Hydrophilidae,Hydropsychidae,Hydroptilidae,Hydrozetidae,Hydryphantidae,Hygrobatidae,Lebertiidae,Lepidostomatidae,Leptoceridae,Leptohyphidae,Leptophlebiidae,Limnephilidae,Lumbriculidae,Naididae,Nemouridae,Oreoleptidae,Peltoperlidae,Perlidae,Perlodidae,Phryganeidae,Pionidae,Planorbidae,Poduridae,Polycentropodidae,Psychodidae,Sialidae,Simuliidae,Sperchontidae,Taeniopterygidae,Tipulidae,Torrenticolidae,Valvatidae,
17215,Heather McDermott,CABIN Training Module,AA06221,30/09/2008 12:00:00 AM,2008,274,Coldwater River,Coldwater River,08L04,Thompson,209,Thompson-Okanagan Plateau,British Columbia,,"North of Coquihalla Hwy, access via Kingsvale, bridge ~50m u/s",Kick Net,1,Test,49.9050000,-120.9155556,nad83,2719,3,,,17,100,,,,100,,58.82,,,429.36,70.58,,,,,394.11,,,,182.34,,288.23,,,,,,64.7,,,58.82,,,82.34,,,,,35.29,,,,,,11.76,,,,,23.52,,,
17216,Heather McDermott,CABIN Training Module,AA06222,29/09/2008 12:00:00 AM,2008,273,Fraser River,Fraser River,08M01,Lower Fraser,192,Pacific Ranges,British Columbia,,"Access via Bulgur Rd before reserve, d/s of the town of Hope",Kick Net,1,Test,49.3475000,-121.6055556,nad83,25,8,,,46,100,13.04,,,8.69,,,,,154.31,,,,8.69,,230.43,,,15.21,160.86,,2.17,,,,,,19.56,,8.69,2.17,,,58.68,,,,,,,,,,2.17,,,,,,,,,
17217,Heather McDermott,CABIN Training Module,AA06223,28/09/2008 12:00:00 AM,2008,272,Quinsam River,Quinsam River,08H07,East Central Vancouver Island,194,Eastern Vancouver Island,British Columbia,,"At Elk Falls Provincial Park; u/s of confluence with Campbell River, access at campsite #2",Kick Net,1,Test,50.0366667,-125.2950000,nad83,16,3,,,40,100,,,7.5,20,,,,,305,,,,27.5,,,,,35,45,,47.5,2.5,,2.5,,22.5,,,,,,,235,2.5,,,,,,2.5,,,,,,30,67.5,,10,7.5,,
18368,Heather McDermott,CABIN Training Module,AA09211,30/09/2008 12:00:00 AM,2008,274,Coldwater River,Coldwater River,08L04,Thompson,209,Thompson-Okanagan Plateau,British Columbia,,North of Coquihalla; access via Kingsvale Bridge about 50 m upstream. ,Kick Net,1,Test,49.9050000,-120.9155556,nad83,2716,3,,,17,100,,,,100,,58.82,,,429.36,70.58,,,,,394.11,,,,182.34,,288.23,,,,,,64.7,,,58.82,,,82.34,,,,,35.29,,,,,,11.76,,,,,23.52,,,
18375,Heather McDermott,CABIN Training Module,AA09212,29/09/2008 12:00:00 AM,2008,273,Fraser River,Fraser River,08M01,Lower Fraser,192,Pacific Ranges,British Columbia,,Access via Bulgur Road before reserve;downstream of the town of Hope,Kick Net,1,Test,49.3475000,-121.6055556,nad83,25,8,,,46,100,13.04,,,8.69,,,,,154.31,,,,8.69,,230.43,,,15.21,160.86,,2.17,,,,,,19.56,,8.69,2.17,,,58.68,,,,,,,,,,2.17,,,,,,,,,
18364,Heather McDermott,CABIN Training Module,AA09213,28/09/2008 12:00:00 AM,2008,272,Quinsam River,Quinsam River,08H07,East Central Vancouver Island,194,Eastern Vancouver Island,British Columbia,,@ Elk Falls Provincial Park; upstream of confluence with Campbell River; access from Campsite #2.,Kick Net,1,Test,50.0366667,-125.2950000,nad83,16,3,,,4,100,,,75,200,,,,,3050,,,,275,,,,,350,450,,475,25,,25,,225,,,,,,,2350,25,,,,,,25,,,,,,300,675,,100,75,,
18493,Heather McDermott,CABIN Training Module,AB02061,30/09/2008 12:00:00 AM,2008,274,Coldwater River,Coldwater River,08L04,Thompson,209,Thompson-Okanagan Plateau,British Columbia,,North of coquihalla hwy; access via kingsvale bridge approximately 50km upstream,Kick Net,1,Test,49.9050000,-120.9155556,nad83,2716,3,,,17,100,,,,100,,58.82,,,429.36,70.58,,,,,394.11,,,,182.34,,288.23,,,,,,64.7,,,58.82,,,82.34,,,,,35.29,,,,,,11.76,,,,,23.52,,,
18495,Heather McDermott,CABIN Training Module,AB02062,29/09/2008 12:00:00 AM,2008,273,Fraser River,Fraser River,08M01,Lower Fraser,192,Pacific Ranges,British Columbia,,Access via Bulgur Rd before reserve; d/s of the town of Hope,Kick Net,1,Test,49.3475000,-121.6055556,nad83,25,8,,,46,100,13.04,,,8.69,,,,,154.31,,,,8.69,,230.43,,,15.21,160.86,,2.17,,,,,,19.56,,8.69,2.17,,,58.68,,,,,,,,,,2.17,,,,,,,,,
18496,Heather McDermott,CABIN Training Module,AB02063,28/09/2008 12:00:00 AM,2008,272,Quinsam River,Quinsam River,08H07,East Central Vancouver Island,194,Eastern Vancouver Island,British Columbia,,"At Elk Falls Provincial Park, upstream of confluence with Campbell River; Access from campsite #2",Kick Net,1,Test,50.0366667,-125.2950000,nad83,16,3,,,4,100,,,75,200,,,,,3050,,,,275,,,,,350,450,,475,25,,25,,225,,,,,,,2350,25,,,,,,25,,,,,,300,675,,100,75,,
18758,Heather McDermott,CABIN Training Module,AB05291,30/09/2008 12:00:00 AM,2008,274,Coldwater River,Coldwater River,08L04,Thompson,209,Thompson-Okanagan Plateau,British Columbia,,"Site 1, North of Coquihalla Hwy; access via Kingsvale Bridge ~50m upstream (CABIN training module);Water chemistry comment: Nitrate <0.002 mg/L, Nitrite <0.005 mg/L",Kick Net,1,Test,49.9050000,-120.9155556,nad83,2716,3,,,17,100,,,,100,,58.82,,,429.36,70.58,,,,,394.11,,,,182.34,,288.23,,,,,,64.7,,,58.82,,,82.34,,,,,35.29,,,,,,11.76,,,,,23.52,,,
