SampleId,Study,Site,SampleDate,Year,JulianDay,Name,Basin,KywId,KywName,EcoregionNumber,Ecoregion,Province,EnvirodatId,Description,Device,SampleNumber,SampleStatus,Latitude,Longitude,GPSDatum,Altitude,StreamOrder,DistanceFromSource,DrainageArea,Depth-Avg,Depth-BankfullMinusWetted,Depth-Max,Discharge,Macrophyte,Reach-CanopyCoverage,Reach-Logging,Reach-DomStreamsideVeg,Reach-Pools,Reach-Rapids,Reach-Riffles,Reach-StraightRun,Slope,Veg-Coniferous,Veg-Deciduous,Veg-GrassesFerns,Veg-Shrubs,Velocity-Avg,Velocity-Max,Width-Bankfull,Width-Wetted,XSEC-VelEquationSlope,XSEC-VelInstrumentDirect,XSEC-VelMethod,XSEC-VeloEquationIntercept,Rainfall01_JAN,Rainfall06_JUN,Snowfall06_JUN,SnowfallTotal_ANNUAL,Temp01_JANMax,Lake,Drainage-Area,StreamDensity,Reg-Alpine,Reg-Forest,Reg-Lake,Reg-UnregenForest,Reg-Wetland,Al ,As,B,Mg,Ni,Bedrock ,Boulder ,Cobble ,Gravel ,Pebble ,Sand ,Silt+Clay ,D50,Dg,Dominant-1st,Dominant-2nd,Embeddedness,PeriphytonCoverage,SurroundingMaterial,SlopeAvg,Ag,Al,Ba,CO3 ,General-Alkalinity,General-CarbonDOC,General-Colour,General-Conductivity,General-DO,General-pH,General-SolidsTDS,General-SolidsTSS,General-SpCond,General-TempAir,General-TempWater,General-Turbidity,Ni,Nitrogen-NH3,Nitrogen-NO2,Nitrogen-NO2+NO3,Nitrogen-NO3,Nitrogen-TDN,Nitrogen-TN,Nitrogen-TN_Organic,Phosphorus-OrthoP,Phosphorus-TDP,Phosphorus-TP,S,
17215,CABIN Training Module,AA06221,30/09/2008 12:00:00 AM,2008,274,Coldwater River,Coldwater River,08L04,Thompson,209,Thompson-Okanagan Plateau,British Columbia,,"North of Coquihalla Hwy, access via Kingsvale, bridge ~50m u/s",Kick Net,1,Test,49.9050000,-120.9155556,nad83,2719,3,,,24.6,75,32,,0,1,,3,0,0,1,1,0.0131,1,1,1,1,0.37,0.71,30.3,14.5,,2,3,,,,,,,,,,,,,,,,,,,,0,5,34,19,38,4,0,4.5,3.4,6,5,4,3,2,,,,,,,,,,10.3,7.8,,,112,11,12.48,2,,,,,,,,,,,,,
17216,CABIN Training Module,AA06222,29/09/2008 12:00:00 AM,2008,273,Fraser River,Fraser River,08M01,Lower Fraser,192,Pacific Ranges,British Columbia,,"Access via Bulgur Rd before reserve, d/s of the town of Hope",Kick Net,1,Test,49.3475000,-121.6055556,nad83,25,8,,,44,0,93,,0,1,,3,0,0,0,1,0.00012,1,1,1,1,,,350,350,,,1,,,,,,,,,,,,,,,,,,,,0,0,25,16,54,0,5,3.65,2.9,5,4,3,1,2,,,,,,,,,,11.38,7.5,,,98,9,13.4,,,,,,,,,,,,,,
17217,CABIN Training Module,AA06223,28/09/2008 12:00:00 AM,2008,272,Quinsam River,Quinsam River,08H07,East Central Vancouver Island,194,Eastern Vancouver Island,British Columbia,,"At Elk Falls Provincial Park; u/s of confluence with Campbell River, access at campsite #2",Kick Net,1,Test,50.0366667,-125.2950000,nad83,16,3,,,12,16,15,,0,0,,4,0,0,1,1,0.012,1,1,1,1,0.37,0.38,23.5,15,,3,3,,,,,,,,,,,,,,,,,,,,0,18,65,2,15,0,0,12,12.5,6,7,4,3,4,,,,,,,,,,10.48,7.8,,,90.4,10,12,3.1,,,,,,,,,,,,,
18368,CABIN Training Module,AA09211,30/09/2008 12:00:00 AM,2008,274,Coldwater River,Coldwater River,08L04,Thompson,209,Thompson-Okanagan Plateau,British Columbia,,North of Coquihalla; access via Kingsvale Bridge about 50 m upstream. ,Kick Net,1,Test,49.9050000,-120.9155556,nad83,2716,3,,,24.6,75,32,,0,1,,3,0,0,1,1,0.0131,1,1,1,1,0.37,0.71,30.3,14.5,,2,3,,,,,,,,,,,,,,,,,,,,0,5,34,19,38,4,0,4.5,3.4,6,5,4,3,2,,,,,,65,,,,10.3,7.8,,0.643,112,11,12.48,2,,,0.0025,,0.001,,0.05,,0.003,,0.004,,
18375,CABIN Training Module,AA09212,29/09/2008 12:00:00 AM,2008,273,Fraser River,Fraser River,08M01,Lower Fraser,192,Pacific Ranges,British Columbia,,Access via Bulgur Road before reserve;downstream of the town of Hope,Kick Net,1,Test,49.3475000,-121.6055556,nad83,25,8,,,44,0,93,,0,1,,3,0,0,0,1,0.00012,1,1,1,1,0.47,0.63,350,350,,,1,,,,,,,,,,,,,,,,,,,,0,0,25,16,54,0,5,3.65,2.9,5,4,3,1,2,,,,,,55.4,,,,11.38,7.5,,12.92,98,9,13.4,,,,0.002,,0.022,0.09,,,,0.004,,,
18364,CABIN Training Module,AA09213,28/09/2008 12:00:00 AM,2008,272,Quinsam River,Quinsam River,08H07,East Central Vancouver Island,194,Eastern Vancouver Island,British Columbia,,@ Elk Falls Provincial Park; upstream of confluence with Campbell River; access from Campsite #2.,Kick Net,1,Test,50.0366667,-125.2950000,nad83,16,3,,,12,15,15,,0,1,,4,0,0,1,1,0.012,1,1,1,1,0.37,0.38,23.5,15,0.6817,,2,0.0029,,,,,,,,,,,,,,,,,,,0,18,66,0,16,0,0,12,12.9,6,7,4,3,4,,,,,,44.3,,,,10.48,7.8,,2.34,90.4,10,12,3.1,,,,0.048,,0.27,,,,0.006,,,
18493,CABIN Training Module,AB02061,30/09/2008 12:00:00 AM,2008,274,Coldwater River,Coldwater River,08L04,Thompson,209,Thompson-Okanagan Plateau,British Columbia,,North of coquihalla hwy; access via kingsvale bridge approximately 50km upstream,Kick Net,1,Test,49.9050000,-120.9155556,nad83,2716,3,,,24.6,75,32,,0,1,,3,0,0,1,1,0.0131,1,1,1,1,0.37,0.71,30.3,14.5,,2,3,,,,,,,,,,,,,,,,,,,,0,5,34,19,38,4,0,4.5,3.4,6,5,4,3,2,,,,,,65,,,,10.3,7.8,,0.643,112,11,12.48,2,,,0.005,,0.002,,0.05,,0.003,,0.004,,
18495,CABIN Training Module,AB02062,29/09/2008 12:00:00 AM,2008,273,Fraser River,Fraser River,08M01,Lower Fraser,192,Pacific Ranges,British Columbia,,Access via Bulgur Rd before reserve; d/s of the town of Hope,Kick Net,1,Test,49.3475000,-121.6055556,nad83,25,8,,,44,0,93,,0,1,,3,0,0,0,1,0.00012,1,1,1,1,0.47,0.63,350,350,,,1,,,,,,,,,,,,,,,,,,,,0,0,25,16,54,0,5,3.65,2.9,5,4,3,1,2,,,,,,55.4,,,,11.38,7.5,,12.92,98,9,13.4,,,,0.002,,0.022,0.09,,,,0.004,,,
18496,CABIN Training Module,AB02063,28/09/2008 12:00:00 AM,2008,272,Quinsam River,Quinsam River,08H07,East Central Vancouver Island,194,Eastern Vancouver Island,British Columbia,,"At Elk Falls Provincial Park, upstream of confluence with Campbell River; Access from campsite #2",Kick Net,1,Test,50.0366667,-125.2950000,nad83,16,3,,,12,15,15,,0,1,,4,0,0,1,1,0.012,1,1,1,1,0.37,0.38,23.5,15,0.6817,,2,0.0029,,,,,,,,,,,,,,,,,,,0,18,65,2,15,0,0,12,12.5,6,7,4,3,4,,,,,,44.3,,,,10.48,7.8,,2.34,90.4,10,12,3.1,,,,0.048,,0.27,,,,0.006,,,
18758,CABIN Training Module,AB05291,30/09/2008 12:00:00 AM,2008,274,Coldwater River,Coldwater River,08L04,Thompson,209,Thompson-Okanagan Plateau,British Columbia,,"Site 1, North of Coquihalla Hwy; access via Kingsvale Bridge ~50m upstream (CABIN training module);Water chemistry comment: Nitrate <0.002 mg/L, Nitrite <0.005 mg/L",Kick Net,1,Test,49.9050000,-120.9155556,nad83,2716,3,,,24.6,75,32,,0,1,,3,0,0,1,1,0.0131,1,1,1,1,0.37,0.71,30.3,14.5,,2,3,,,,,,,,,,,,,,,,,,,,0,5,34,19,38,4,0,4.5,3.4,6,5,4,3,2,,,,,,65,,,,10.3,7.8,,0.643,112,11,12.48,2,,,0.005,,0.002,,0.05,,0.003,,0.004,,
